Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
907,26,12/26/2012,27-362,MIA,@,CHA,W (+13),1,38:35:00,9,19,0.474,2,4,0.5,7,8,0.875,2,10,12,8,4,2,3,1,27,28.9,12
908,27,12/28/2012,27-364,MIA,@,DET,L (-10),1,44:19:00,15,22,0.682,2,4,0.5,3,4,0.75,1,5,6,5,6,1,3,1,35,34.2,-2
909,28,12/29/2012,27-365,MIA,@,MIL,L (-19),1,36:29:00,11,20,0.55,1,2,0.5,3,5,0.6,1,5,6,7,2,1,6,2,26,18.6,-8
910,29,12/31/2012,28-001,MIA,@,ORL,W (+2),1,47:53:00,10,22,0.455,1,6,0.167,15,16,0.938,1,7,8,11,1,0,3,2,36,31.9,4
911,30,1/2/2013,28-003,MIA,,DAL,W (+10),1,42:01:00,11,20,0.55,1,3,0.333,9,11,0.818,1,11,12,9,3,1,4,0,32,31.6,12
912,31,1/4/2013,28-005,MIA,,CHI,L (-7),1,41:05:00,8,14,0.571,1,5,0.2,13,16,0.813,0,6,6,2,1,0,2,2,30,23.6,-18
913,32,1/6/2013,28-007,MIA,,WAS,W (+28),1,34:57:00,9,17,0.529,2,3,0.667,4,4,1,1,1,2,7,0,1,1,0,24,21.3,26
914,33,1/8/2013,28-009,MIA,@,IND,L (-10),1,42:36:00,10,20,0.5,1,1,1,1,4,0.25,3,7,10,4,1,2,7,2,22,12.4,-5
915,34,1/10/2013,28-011,MIA,@,POR,L (-2),1,42:39:00,6,16,0.375,1,5,0.2,2,5,0.4,0,10,10,9,2,1,4,3,15,11.8,-9
916,35,1/12/2013,28-013,MIA,@,SAC,W (+29),1,29:08:00,7,10,0.7,0,1,0,6,7,0.857,1,4,5,7,5,2,1,0,20,27.6,28
917,36,1/14/2013,28-015,MIA,@,UTA,L (-7),1,43:41:00,13,19,0.684,2,4,0.5,4,4,1,1,3,4,6,3,2,3,5,32,29.1,1
918,37,1/16/2013,28-017,MIA,@,GSW,W (+17),1,30:32:00,11,20,0.55,1,5,0.2,2,3,0.667,1,6,7,10,1,0,1,2,25,23.7,33
919,38,1/17/2013,28-018,MIA,@,LAL,W (+9),1,42:04:00,17,25,0.68,1,2,0.5,4,4,1,0,7,7,8,3,1,2,2,39,36.9,13
920,39,1/23/2013,28-024,MIA,,TOR,W (+7),1,44:50:00,12,23,0.522,1,5,0.2,6,7,0.857,1,9,10,11,0,0,3,1,31,27,9
921,40,1/25/2013,28-026,MIA,,DET,W (+22),1,33:01:00,9,14,0.643,0,1,0,5,6,0.833,1,6,7,7,1,0,2,0,23,22.8,22
922,41,1/27/2013,28-028,MIA,@,BOS,L (-2),1,51:56:00,14,31,0.452,3,6,0.5,3,5,0.6,4,12,16,7,3,1,3,3,34,27.9,-2
923,42,1/30/2013,28-031,MIA,@,BRK,W (+20),1,34:17:00,10,18,0.556,3,4,0.75,1,4,0.25,2,7,9,7,2,0,4,2,24,19.8,22
924,43,2/1/2013,28-033,MIA,@,IND,L (-13),1,41:58:00,9,17,0.529,1,3,0.333,9,11,0.818,1,5,6,3,1,1,3,4,28,20.3,-9
925,44,2/3/2013,28-035,MIA,@,TOR,W (+15),1,39:44:00,10,16,0.625,1,2,0.5,9,11,0.818,0,8,8,7,2,0,3,1,30,27.9,29
926,45,2/4/2013,28-036,MIA,,CHA,W (+5),1,38:00:00,13,14,0.929,0,0,,5,6,0.833,0,8,8,8,2,0,5,1,31,30.6,8
927,46,2/6/2013,28-038,MIA,,HOU,W (+6),1,36:37:00,11,18,0.611,3,6,0.5,7,10,0.7,1,5,6,5,0,2,4,2,32,24.9,4
928,47,2/8/2013,28-040,MIA,,LAC,W (+22),1,30:59:00,9,11,0.818,4,5,0.8,8,11,0.727,1,4,5,6,0,2,5,3,30,26,21
929,48,2/10/2013,28-042,MIA,,LAL,W (+10),1,36:15:00,12,18,0.667,1,2,0.5,7,8,0.875,1,6,7,4,3,0,4,4,32,26.5,7
930,49,2/12/2013,28-044,MIA,,POR,W (+13),1,38:45:00,11,15,0.733,1,3,0.333,7,8,0.875,0,6,6,9,3,2,1,0,30,35,21
931,50,2/14/2013,28-046,MIA,@,OKC,W (+10),1,40:02:00,14,24,0.583,4,8,0.5,7,9,0.778,3,9,12,7,2,0,4,3,39,33.5,15
932,51,2/20/2013,28-052,MIA,@,ATL,W (+13),1,39:31:00,8,15,0.533,1,4,0.25,7,8,0.875,0,6,6,11,4,0,2,1,24,27.4,16
